AppID,Game Name,Release Date,Developer,Genres,Price ($),Recommendations
2603190,Don't Wake Me Up,"Feb 1, 2024",Hosted Games,"Adventure, Indie, RPG",7.99,N/A
2603210,On the Run: Rogue Heroes,"Mar 21, 2024",Choice of Games,"Adventure, Indie, RPG",5.99,N/A
2603380,Super Jump Guys,Coming soon,Nathan Prince,"Action, Adventure, Casual, Indie",Free,N/A
2603430,Shell's Kitchen,"Nov 24, 2023",Stupid Town,"Casual, Indie",Free,N/A
2603440,My Pretty Neighbor Chloe,"Oct 21, 2023",simplecakestudio,Indie,2.99,N/A
2603450,Tank War Shooting Simulator,"Sep 29, 2023","Yusuf Islam Seyhan, Samet Acar","Action, Indie, Simulation, Strategy",0.99,N/A
2603550,Eclipse 2: Invasion of Darkness,Q4 2025,MadRock,"Action, Adventure, Indie, RPG",Free,N/A
2603590,Runemancer,"Dec 7, 2023",Pixel Army Games,"Casual, Indie, RPG, Strategy",1.99,N/A
2602760,Crypt's Rend,Coming soon,ちまラボ,"Adventure, Indie, RPG",Free,N/A
2602770,MAOUISHO:~ La Dolce Vita with Another World's Demon Lord~,"Aug 9, 2024",ボウサバG,"Casual, Indie, RPG, Simulation",24.99,N/A
2602790,Above the Hill,"Jan 5, 2024",M.Mustapha Hadi,"Adventure, Indie",2.49,N/A
2602830,Timagi,Coming soon,Qurilla Studios,"Action, Adventure, Indie, RPG",Free,N/A
2602890,Forest Jump,"Oct 17, 2023",HYUN,"Action, Adventure, Casual, Indie, Simulation, Sports",4.99,N/A
2603000,Cursed Silence,Coming soon,Marco Brunetti,"Action, Adventure, Indie",Free,N/A
2603020,Citadelum,"Oct 17, 2024",Abylight Barcelona,"Indie, Simulation, Strategy",24.99,297
2603130,Halloween Games for Toddlers and Kids,"Sep 29, 2023",McPeppergames,"Casual, Indie",6.29,N/A
2602170,Astro Link Demo,"Sep 18, 2023",Zachary Losier,"Action, Adventure, Indie, Strategy",Free,N/A
2602200,Treasure Dive,To be announced,Ilikeoreos47,"Casual, Indie",Free,N/A
2602210,Retro Mystery Club Vol.2: The Beppu Case,"Apr 3, 2024","Happymeal, Undercoders","Adventure, Indie",9.99,N/A
2602220,Firebowl,Coming soon,Gaviota Games Studio,"Casual, Indie, Sports",Free,N/A
2602230,MOTIONREC,2025,HANDSUM,"Action, Adventure, Casual, Indie",Free,N/A
2602270,Puma: the Cat,"Nov 8, 2023",Danta Game Studio,"Adventure, Casual, Indie",2.99,N/A
2602310,铲屎官兼侦探-Cat Detective,"Oct 24, 2023",橙光游戏,"Adventure, Casual, Indie, RPG, Strategy",5.99,N/A
2602380,별을 좇는 까마귀(To The Star),"Nov 12, 2023","Lee Jimin, Na Dan, Lee Uihwan, Rhee Inyoung",Indie,Free,N/A
2602390,Impossible Game,Coming soon,Yggdrasil Games,"Casual, Indie",Free,N/A
2602410,Crashimals,Coming soon,Landen Bonnette,"Action, Indie",Free,N/A
2602500,Enci's Solution,To be announced,Dark Emerald Studios,"Action, Adventure, Indie",Free,N/A
2602530,W.I.T.S: INITIATION,"Jun 17, 2024",Rashidi Interactive,Indie,8.99,N/A
2602550,田园画境 Pastoral,"Nov 10, 2023",Easy Joy,"Casual, Indie, Simulation",2.99,N/A
2602570,Sex Play - Naughty Doctor,"Sep 24, 2023",EroticGamesClub,"Casual, Indie, Simulation",1.99,N/A
2601640,Sporeborn Dark,"Sep 19, 2024",ValiantLight,"Action, Adventure, Indie, Simulation",7.49,N/A
2601740,Drive Up,"Nov 2, 2023",Astrasoft,"Action, Adventure, Casual, Indie, Racing, Simulation",4.99,N/A
2601840,Paper Play VR,2024,Studio Moondowner,"Action, Casual, Indie, Simulation, Sports, Early Access",Free,N/A
2601850,Ball Hentai Puzzle,"Nov 3, 2023",NewAddict,"Action, Casual, Indie, RPG, Simulation, Strategy",1.99,N/A
2601870,Elemental Mage Defense,"Oct 12, 2023",Fatal Army Studios,"Action, Casual, Indie",Free,N/A
2601920,At the Edge of the World,Coming soon,"rica, tui","Indie, Simulation",Free,N/A
2601960,Golden Leaf Jigsaw Puzzles - Expansion Pack 3,"Sep 26, 2023",Boogygames Studios,"Adventure, Casual, Indie, Strategy",0.99,N/A
2602000,Erogoddess: Olympus,"Jul 18, 2024",Moobly,"Adventure, Casual, Indie, Simulation",5.99,N/A
2602010,MechDrachen,Coming soon,Loki+LPunicorn,"Action, Indie",Free,N/A
2602040,FLY GUYS,To be announced,The Guys,"Adventure, Casual, Indie",Free,N/A
2602070,VanimateApp,To be announced,Vanimate,"Casual, Indie, Simulation",Free,N/A
2602080,The Last Librarian,Coming soon,"Leandro Davel, Franco Castellacci","Action, Adventure, Indie",Free,N/A
2602100,Dropkick Navvy,To be announced,"Ocean Drive Studio, Inc.","Casual, Indie, Simulation",Free,N/A
2602110,Noah's Descent into Madness,"Sep 29, 2023",Squiggly Games,"Action, Adventure, Indie",0.99,N/A
2602120,Bob's Mansion,"Apr 7, 2024",Skydavis Games,"Action, Adventure, Casual, Indie, Early Access",1.24,N/A
2601170,Glyphen,To be announced,ToccGames,"Action, Adventure, Indie",Free,N/A
2601190,Unavailed,"Oct 10, 2023",CoffeeSnail,"Indie, RPG",4.99,N/A
2601230,Cyber Control,"Apr 22, 2024",Felipe Mattar,"Adventure, Indie, Early Access",8.99,N/A
2601240,Tokyo 30 days,"Mar 25, 2024",Manta Game,"Casual, Indie, RPG",1.99,N/A
2601270,Cryoterror,"Oct 26, 2023",CryoDev,Indie,5.99,N/A
2601420,Terror Spikys,Coming soon,Refugium Games,"Action, Adventure, Indie",Free,N/A
2601450,Auxin,Coming soon,Etienne Fontanille,"Action, Indie",Free,N/A
2601460,Super Jigsaw Puzzle: Generations - Portugal,"Oct 23, 2023",Flat Cat Games,"Casual, Indie, Strategy, Free To Play",2.24,N/A
2601470,Super Jigsaw Puzzle: Generations - Random 6,"Nov 3, 2023",Flat Cat Games,"Casual, Indie, Strategy, Free To Play",2.69,N/A
2601480,Super Jigsaw Puzzle: Generations - Landscapes 4,"Nov 14, 2023",Flat Cat Games,"Casual, Indie, Strategy, Free To Play",2.69,N/A
2601490,Super Jigsaw Puzzle: Generations - Winter 2023,"Dec 12, 2023",Flat Cat Games,"Casual, Indie, Strategy, Free To Play",3.59,N/A
2601500,Super Jigsaw Puzzle: Generations - Colorful 3,"Jan 5, 2024",Flat Cat Games,"Casual, Indie, Strategy, Free To Play",3.59,N/A
2601530,Regular Home Renovation Simulator,Coming soon,Substandard Shrimp,"Indie, Simulation",Free,N/A
2601540,Drowned Lake,Coming soon,Monumental Collab,"Action, Adventure, Indie",Free,N/A
2601580,Paradise's Secrets,Q4 2024,Entry Studios,"Action, Adventure, Indie",Free,N/A
2601610,BrickBounce,"Nov 2, 2023",GeneFree,"Casual, Indie, Racing, Simulation, Sports, Early Access",3.99,N/A
2601620,Ungate,"Dec 5, 2023",Varvara Andrei,"Action, Adventure, Indie",4.99,N/A
2600700,CONERU -DIMENSION GIRL-,Coming soon,"HIKE Inc., Eallin Japan Co.Ltd.","Action, Casual, Indie",Free,N/A
2600710,Special Forces War - Zombie Attack,"Nov 28, 2023",Special Forces War - Zombie Attack,"Casual, Indie, RPG, Simulation, Strategy, Free To Play",Free,N/A
2600730,Ties: Soul Link,Coming soon,North Tokyo,"Action, Adventure, Indie, RPG",Free,N/A
2600770,All-Ways Up,"Oct 19, 2023",Vartan Games,"Adventure, Indie",4.99,N/A
2600790,SAMUZA,"Jan 9, 2024",Crackin Inc.,"Action, Casual, Indie, Sports",9.99,N/A
2600800,Alaskan Road Truckers: Mother Truckers DLC,"Oct 18, 2023",Road Studio S.A.,"Action, Adventure, Casual, Indie, Racing, Simulation",2.99,N/A
2600810,Valdis,"Oct 23, 2024",Sgull Games,"Action, Adventure, Indie, RPG, Early Access",2.99,N/A
2600820,The Journey Home,To be announced,Joey's Entertainment,"Adventure, Indie",Free,N/A
2600880,Gas Station Simulator - Tidal Wave DLC,"Mar 21, 2024",DRAGO entertainment,"Indie, Simulation",14.99,127
2600940,Cardeneer Editor (optional),"Feb 20, 2024",Nordic Softworks,"Indie, Simulation, Strategy, Free To Play",29.99,N/A
2600970,Flawed Tactics,Coming soon,Flawed Games,"Indie, Strategy",Free,N/A
2601000,Fairy Treasure,"Feb 7, 2024",GameOn,"Action, Casual, Indie",2.49,N/A
2601010,Sequence: The Ranked Poker Dice Game,"Oct 22, 2024",DKWorld Entertainment,"Casual, Indie, Simulation, Strategy",3.99,N/A
2601030,Exanimum: The Silent Call,"Mar 11, 2024",Perspektik,Indie,2.67,N/A
2601070,Lathe Machine Simulator,"Feb 23, 2024",Igor Frank,"Action, Indie, Simulation",9.99,N/A
2600140,"Please, Touch The Artwork 2","Feb 19, 2024",Thomas Waterzooi,"Adventure, Casual, Indie",Free,N/A
2600170,InController,Coming soon,Future Fossil,"Casual, Indie",Free,N/A
2600190,Badventure,To be announced,Firetown Studios,"Adventure, Indie, RPG",Free,N/A
2600220,Golden Leaf Jigsaw Puzzles - Expansion Pack 2,"Sep 26, 2023",Boogygames Studios,"Adventure, Casual, Indie, Strategy",0.99,N/A
2600230,Zombactory,2024,Shoulders of Giants Studios,"Action, Adventure, Indie, RPG, Strategy",Free,N/A
2600240,LUM'S GAME,2024,games by lum,"Adventure, Indie, Simulation",Free,N/A
2600290,Dungeon Croaker,Coming soon,Greedable,"Casual, Indie, RPG, Strategy",Free,N/A
2600440,The Red Forest,October 2025,PixelGlyph Games,"Adventure, Indie, RPG",Free,N/A
2600470,New Ganymede,Coming soon,New Ganymede,"Action, Adventure, Indie, Massively Multiplayer, RPG",Free,N/A
2600480,Whisper: in the Dark,To be announced,Primitive Pixels Games,"Action, Adventure, Indie",Free,N/A
2600500,BLACK RUNES,"Sep 28, 2023",Andrei Uvarov,"Action, Adventure, Indie",1.59,N/A
2600570,Paper Bride 5 Two Lifetimes,"Nov 30, 2023",HeartBeat Plus,"Adventure, Casual, Indie, RPG",9.99,454
2600580,The shadow of the evil tower,"Mar 8, 2024",TitaniumCore Game,"Action, Adventure, Indie, Racing",4.99,N/A
2600600,Internet Cafe Evolution,"Apr 19, 2024",Tiny Flame Games,"Casual, Indie, Simulation, Strategy",14.99,540
2599640,Re:AEGIS,Coming soon,dotplus,"Action, Indie",Free,N/A
2599690,Better Than Dead,To be announced,MONTE GALLO,"Action, Indie, Simulation",Free,N/A
2599700,Algor PEW PEW,"Sep 25, 2024",Realic Production,"Action, Casual, Indie",10.99,N/A
2599710,P.R.O.T.O.C.O.O.L. - Silver Pack,"Sep 15, 2023",Irondoor Games,"Action, Casual, Indie",10.99,N/A
2599720,P.R.O.T.O.C.O.O.L. - Gold Pack,"Sep 14, 2023",Irondoor Games,"Action, Casual, Indie",44.99,N/A
2599730,P.R.O.T.O.C.O.O.L. - Diamond Pack,"Sep 14, 2023",Irondoor Games,"Action, Casual, Indie",89.99,N/A
2599780,I commissioned some cats 3,"Sep 30, 2023",Follow the fun,"Casual, Indie",3.39,N/A
2599800,Spanking Runners,"May 14, 2024",K-D Lab,"Adventure, Indie, Racing",4.99,N/A
2599870,Golden Leaf Jigsaw Puzzles - Expansion Pack 1,"Sep 26, 2023",Boogygames Studios,"Adventure, Casual, Indie, Strategy",0.99,N/A
2599890,Hentai Maid,"Nov 5, 2023",htaidisgust,"Casual, Indie, Strategy",0.99,N/A
2599900,Whispers In Paradise,"Oct 29, 2023",Cryobolt Interactive,"Action, Adventure, Casual, Indie",1.59,N/A
2599910,Erotic fiction for Sci-fi builder,"Jan 26, 2024",Games For Pleasure,"Action, Adventure, Indie, Simulation",24.99,N/A
2599920,Reapers,"Oct 3, 2023",NeoReel Inc.,"Indie, RPG, Strategy",Free,N/A
2599930,The King In Yellow - Escape Room,"Dec 14, 2023",SoulMeatGames,"Adventure, Casual, Indie",8.99,N/A
2599950,Backwoods Town,"Nov 24, 2023",Andrii Prots,"Adventure, Indie, Simulation, Early Access",8.99,141
2599960,Aimee's Cafe,Coming soon,Ayleinee,"Adventure, Casual, Indie",Free,N/A
2600000,Mountain Boy,Coming soon,MONTE GALLO,"Action, Adventure, Indie, Sports",Free,N/A
2600070,The Game Of Death,"Dec 17, 2023",BrokenWheel Games,"Action, Indie",4.99,N/A
2599130,Night Pact: Azuru,"Nov 15, 2023",Víctor Córcoles,"Action, Adventure, Casual, Indie",1.69,N/A
2599150,Morph Animals,"Sep 29, 2023",RipperNobbs,"Adventure, Indie, RPG, Strategy",1.99,N/A
2599170,Run 'n Gun: Deluxe,Coming soon,GR: Game Studios,"Action, Adventure, Indie",Free,N/A
2599180,Ambusher,"Oct 6, 2023",Bilal Demir,"Action, Casual, Indie, Strategy",1.99,N/A
2599210,BattleSide,To be announced,GabHub,"Action, Casual, Indie, Massively Multiplayer, RPG, Early Access",Free,N/A
2599270,Gem Defender: Soyjak Survivors,"Oct 23, 2023","Coby Dox, Chudd Howard","Action, Casual, Indie, Strategy",3.99,298
2599290,Mad King's Lair: Tome of Destruction,Coming soon,"5|N Interactive, Brandon De VITO","Action, Adventure, Casual, Indie, RPG, Early Access",Free,N/A
2599420,Dynasty,"Feb 1, 2024",Lunar Workshop,"Indie, Free To Play",Free,N/A
2599440,BREADMAN,To be announced,Ronald Takken,"Action, Adventure, Indie, RPG",Free,N/A
2599460,Craft Carnage,Coming soon,Smelly Studio Games,"Action, Indie, Early Access",Free,N/A
2599480,Buckshot to Hell,"Oct 15, 2024",Long Shift Studios,"Action, Indie, Simulation, Strategy",1.99,N/A
2599500,Neuralgia,Coming soon,Ivrey Games,"Action, Adventure, Indie",Free,N/A
2599540,Cube Battlefield: 2048,"Oct 1, 2023",Ming Chen,"Action, Adventure, Casual, Indie, Simulation, Strategy",Free,N/A
2599550,LIGHT CRY,To be announced,Dragon Landing,"Action, Adventure, Indie, Simulation",Free,N/A
2599560,Ataraxie,"Apr 3, 2024",Studio Gravenoire,"Action, Adventure, Indie",4.99,N/A
2599580,Heavenstrafer,Coming soon,O Culto?,"Action, Indie",Free,N/A
2599620,Zarie: The Story of Sin,"Sep 29, 2023",MOON USAGI,"Casual, Indie",Free,N/A
2598620,VIRUS 91,"Dec 4, 2023",Mikki-Boi,"Adventure, Casual, Indie",8.99,N/A
2598630,The Dragonhood,"Jul 12, 2024",Scrambled Games,"Casual, Indie, RPG",7.99,N/A
2598660,Explosive Madness,"Dec 3, 2023",Mikki-Boi,"Casual, Indie",14.99,N/A
2598670,Legend of the archer,"Dec 4, 2023",Mikki-Boi,"Action, Indie",8.99,N/A
2598690,10:16,"Oct 16, 2023",Catsket Games,"Indie, Free To Play",Free,N/A
2598730,Sasha's Stupid Coffee Shop,"Oct 9, 2023",Brutal Jellyfish,"Casual, Indie, Simulation",4.99,N/A
2598770,Bloody Moon,"Oct 23, 2023",俊哥哥,"Action, Adventure, Indie",0.99,N/A
2598860,Boundless Paths,"Apr 10, 2024",Oaklin,"Indie, Strategy",7.99,N/A
2598880,WireWalking,Coming soon,AnkaGame,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports",Free,N/A
2598910,The Legend of Chosen Blood,Coming soon,FOG PRODUCTIONS,"Action, Adventure, Indie, RPG, Simulation",Free,N/A
2598920,Song of Eriel,To be announced,Eriel Games,"Indie, RPG, Simulation",Free,N/A
2598930,Game Store Simulator,"Aug 20, 2024",Pex Entertainment,"Indie, Simulation",3.74,173
2598950,Greeded,To be announced,KORO.GAMES,"Adventure, Indie, Simulation",Free,N/A
2598970,Fastest Cars Traffic Racer,"Sep 27, 2023",Samet Acar,"Indie, Racing, Simulation, Sports",0.99,N/A
2599010,PUSH,2024,Emankcin,"Adventure, Casual, Indie, RPG, Strategy",Free,N/A
2599040,Going Down,Coming soon,Mytholite Games,"Indie, RPG",Free,N/A
2599050,Square Edges,"Mar 6, 2024",Soomka Games,"Casual, Indie",3.99,N/A
2599060,Magical Lands,"Mar 5, 2024",SoomkaGames,"Action, Adventure, Indie, Simulation, Strategy",2.99,N/A
2599070,Save the sheep,Coming soon,Soomka Games,"Action, Indie, Strategy",Free,N/A
2599110,My Ex-future Family Premium Edition,"Oct 2, 2023","tremmiGames, f1r1f0 Games","Adventure, Indie",5.99,N/A
2598110,Fusing Noracam,"Oct 20, 2023",Rusimitu Games,"Action, Adventure, Indie",5.99,N/A
2598120,The Cauldron Kids: The Summoning of Mr. Vermicelli,"Jan 29, 2024",Pet Golem Games,"Casual, Indie, RPG",4.99,N/A
2598190,SomnaBuster,"Sep 24, 2024",PD_CGT,"Action, Indie",14.99,N/A
2598290,P.R.O.T.O.C.O.O.L.,"Sep 29, 2023",Irondoor Games,"Action, Casual, Indie, Early Access",0.99,N/A
2598310,Little Penguin Chillventure,"Sep 27, 2023",beans rolls,"Adventure, Indie",0.61,N/A
2598320,Erased Case,Coming soon,Lightfall Team,"Adventure, Casual, Indie",Free,N/A
2598330,Cosmogelica,To be announced,CyanSorcery,"Action, Adventure, Indie",Free,N/A
2598380,Squad Emotes - Stand Off Pack,"Dec 12, 2023",Offworld Industries,"Action, Indie, Massively Multiplayer, Strategy",3.99,N/A
